Cod;Nome do banco
001;Banco do Brasil S.A.
003;Banco da Amazônia S.A.
004;Banco do Nordeste do Brasil S.A.
010;Cooperativa Credicoamo
019;Banco Azteca do Brasil S.A.
021;Banestes S.A. Banco do Estado do Espírito Santo
025;Banco Alfa S.A.
033;Banco Santander (Brasil) S. A.
037;Banco do Estado do Pará S.A.
040;Banco Cargill S.A.
041;Banrisul - Banco do Estado do Rio Grande do Sul S.A.
044;Banco BVA S.A.
047;Banco do Estado de Sergipe S.A.
065;Banco Bracce S.A.
066;Banco Morgan Stanley S. A.
069;BPN Brasil Banco Múltiplo S.A.
070;Banco de Brasília S.A.
074;Banco J. Safra S.A.
075;Banco CR2 S.A.
076;Banco KDB do Brasil S.A.
077;Banco Intermedium S.A.
078;BES Investimento do Brasil S.A
079;Banco Original do Agronegocio
081;BBN Banco Brasileiro de Negocios S.A.
082;Banco Topazio S.A.
083;Banco da China Brasil S.A.
084;Cooperativa Uniprime Norte do Paraná
085;Cooperativa Cecred
087;Cooperativa Unicred Central Santa Catarina
088;Banco Randon S.A.
089;Cooperativa Região da Mogiana
090;Cooperativa Unicred Central SP
091;Cooperativa Unicred Central RS
094;Banco Petra S.A.
097;Cooperativa Centralcredi
098;Cooperativa Credialiança
099;Cooperativa Uniprime Central
104;Caixa Econômica Federal
107;Banco BBM S.A.
112;Cooperativa Unicred Brasil Central
114;Cooperativa Cecoopes
119;Banco Western Union do Brasil
120;Banco Rodobens
121;Banco Gerador S.A.
125;Brasil Plural
208;Banco BTG Pactual S.A.
212;Banco Matone S. A.
213;Banco Arbi S.A.
214;Banco Dibens S.A.
217;Banco John Deere S.A.
218;Banco Bonsucesso S.A.
222;Banco Credit Agrícole Brasil S.A.
224;Banco Fibra S.A.
225;Banco Brascan S.A.
229;Banco Cruzeiro do Sul S. A.
230;Unicard Banco Múltiplo S.A
233;Banco Cifra
237;Banco Bradesco S.A.
241;Banco Clássico S.A.
243;Banco Máxima S.A.
246;Banco ABC S.A.
248;Banco Boavista Interatlantico S.A.
250;BCV - Banco de Crédito e Varejo S/A
254;Parana Banco S. A.
263;Banco Cacique
265;Banco Fator S.A.
266;Banco Cédula S.A.
300;Banco de la Nacion Argentina
318;Banco BMG S.A.
320;Banco Industrial e Comercial S.A.
341;Itaú Unibanco S.A.
366;Banco Societe Generale Brasil S.A.
370;Banco WestLB do Brasil S.A.
376;Banco JP Morgan S.A.
389;Banco Mercantil do Brasil S.A.
399;HSBC Bank Brasil S.A.
412;Banco Capital S.A.
422;Banco Safra S.A.
453;Banco Rural S.A.
456;Banco de Tokyo-Mitsubishi UFJ Brasil S.A.
464;Banco Sumitomo Mitsui Brasileiro S.A.
473;Caixa Geral
487;Deutsche Bank S.A. Banco Alemao
488;JPMorgan Chase Bank, National Association
505;Banco Credit Suisse (Brasil) S.A.
600;Banco Luso Brasileiro S.A.
604;Banco Industrial do Brasil S.A.
611;Banco Paulista S.A.
612;Banco Guanabara S.A.
613;Banco Pecúnia S. A.
623;Banco Panamericano S.A.
626;Banco Ficsa S.A.
630;Banco Intercap S.A.
633;Banco Rendimento S.A.
634;Banco Triângulo S.A.
637;Banco Sofisa S. A.
638;Banco Prosper S.A.
643;Banco Pine S.A.
653;Banco Indusval S. A.
654;Banco A.J. Renner S.A.
655;Banco Votorantim S.A.
707;Banco Daycoval S.A.
719;Banif - Bco Internacional do Funchal (Brasil) S.A.
735;Banco Pottencial S.A.
739;Banco BGN S.A.
740;Banco Barclays S.A.
741;Banco Ribeirao Preto S.A.
743;Banco Semear S.A.
745;Banco Citibank S.A.
746;Banco Modal S.A.
747;Banco Rabobank International Brasil S.A.
748;Banco Cooperativo Sicredi
749;Banco Simples S.A.
751;Scotiabank Brasil S.A. Banco Múltiplo
752;Banco BNP Paribas Brasil S.A.
753;NBC Bank Brasil S. A.
755;Bank of America Merrilol Lynch
756;Banco Coperativo do Brasil - Bancoob
757;Banco Keb do Brasil S. A.
